,身高,体重,性别,年龄,学历,受教育时间(年),每周工作时长,职业
0,156.92,45.58,男,39,硕士,13,40,教育
1,151.45,65.1,男,50,硕士,13,13,教育
2,166.05,52.68,男,38,高中,9,40,服务
3,163.45,63.45,男,53,高中,7,40,服务
4,157.6,54.33,女,28,硕士,13,40,教育
5,157.41,58.16,女,37,硕士,14,40,教育
6,155.8,63.21,女,49,高中,5,16,教育
7,158.98,63.67,男,52,高中,9,45,教育
8,169.47,68.48,女,31,硕士,14,50,教育
9,165.89,63.56,男,42,硕士,13,40,教育
10,150.44,68.18,男,37,本科,10,80,教育
11,148.02,46.94,男,30,硕士,13,40,教育
12,158.86,48.17,女,23,硕士,13,30,教育
13,165.3,86.81,男,32,博士,12,50,销售
14,149.09,60.25,男,40,博士,11,40,销售
15,149.28,66.9,男,34,初中及以下,4,45,服务
16,155.16,72.03,男,25,高中,9,35,服务
17,159.23,60.38,男,32,高中,9,40,服务
18,157.29,61.18,男,38,高中,7,50,销售
19,157.05,74.53,女,43,硕士,14,45,教育
20,149.48,60.08,男,40,博士,16,60,教育
21,134.05,48.87,女,54,高中,9,20,教育
22,150.86,62.26,男,35,高中,5,40,教育
23,153.57,72.81,男,43,高中,7,40,服务
24,156.4,56.54,女,59,高中,9,40,服务
25,164.76,68.37,男,56,硕士,13,40,服务
26,153.32,54.05,男,19,高中,9,40,服务
27,154.3,57.46,男,54,本科,10,60,服务
28,151.3,69.06,男,39,高中,9,80,教育
29,159.07,53.01,男,49,高中,9,40,教育
30,164.16,55.5,男,23,博士,12,52,教育
31,160.95,68.97,男,20,本科,10,44,销售
32,167.39,67.81,男,45,硕士,13,40,教育
33,157.83,45.87,男,30,本科,10,40,教育
34,161.89,71.44,男,22,本科,10,15,教育
35,169.08,77.03,男,48,高中,7,40,服务
36,161.12,60.5,男,21,本科,10,40,服务
37,160.34,82.01,女,19,高中,9,25,教育
38,158.82,48.05,男,31,本科,10,38,销售
39,144.91,66.46,男,48,博士,12,40,教育
40,156.88,75.7,男,31,高中,5,43,服务
41,162.03,69.43,男,53,硕士,13,40,教育
42,162.58,74.91,男,24,硕士,13,50,服务
43,170.2,91.65,女,49,高中,9,40,教育
44,165.39,62.5,男,25,高中,9,35,服务
45,160.03,81.49,男,57,硕士,13,40,教育
46,172.46,75.33,男,53,高中,9,38,服务
47,156.91,54.08,女,44,硕士,14,40,教育
48,171.46,83.84,男,41,博士,11,40,教育
49,167.23,56.91,男,29,博士,11,43,教育
50,163.93,49.96,女,25,本科,10,40,教育
51,168.89,58.74,女,18,高中,9,30,教育
52,162.02,49.85,女,47,硕士,15,60,教育
53,146.1,56.5,男,50,硕士,13,55,教育
54,161.6,60.48,男,47,高中,9,60,教育
55,153.53,52.89,男,43,本科,10,40,服务
56,169.94,91.28,男,46,初中及以下,3,40,服务
57,163.4,55.94,男,35,博士,11,40,服务
58,171.68,92.88,男,41,高中,9,48,教育
59,158.02,56.69,男,30,高中,9,40,服务
60,157.7,74.1,男,30,硕士,13,40,销售
61,161.63,48.4,男,32,初中及以下,4,40,销售
62,153.48,65.75,男,48,高中,9,40,服务
63,156.32,55.55,男,42,博士,16,45,教育
64,171.48,53.21,男,29,本科,10,58,服务
65,158.62,52.84,男,36,高中,9,40,服务
66,154.03,65.05,女,28,本科,10,40,教育
67,163.94,54.3,女,53,高中,9,40,教育
68,167.32,57.59,男,49,本科,10,50,教育
69,147.47,44.6,男,25,本科,10,40,教育
70,158.11,48.42,男,19,本科,10,32,教育
71,162.71,76.04,女,31,硕士,13,40,销售
72,159.58,55.49,男,29,硕士,13,70,销售
73,162.7,78.1,男,23,本科,10,40,服务
74,156.26,57.73,男,79,本科,10,20,教育
75,170.59,65.33,男,27,高中,9,40,教育
76,161.61,69.71,男,40,博士,12,40,教育
77,148.6,65.67,男,67,高中,6,2,教育
78,169.17,56.19,女,18,高中,7,22,教育
79,165.45,80.18,男,31,初中及以下,4,40,教育
80,166.56,68.35,男,18,高中,9,30,销售
81,159.23,63.09,男,52,硕士,13,40,销售
82,157.06,71.38,女,46,高中,9,40,销售
83,167.79,70.89,男,59,高中,9,48,销售
84,164.99,55.17,女,44,高中,9,40,销售
85,155.02,64.15,女,53,高中,9,35,销售
86,158.94,46.42,男,49,高中,9,40,销售
87,158.25,49.92,男,33,硕士,14,50,教育
88,160.59,72.81,男,30,高中,5,40,销售
89,167.29,85.89,女,43,博士,16,50,教育
90,159.27,64.55,男,57,博士,11,40,教育
