,job,place,limit,tags,salary,working time
0,小学各科老师 家教,温州·鹿城区·南门,1-3年大专,家教 教师 教研 教案 续费,8.5,25.0
1,亲子家教类策划编辑,北京·西城区·德外大街,1-3年本科,策划选题 出版 图书出版 英语 原版书,13.0,19.0
2,家教,南京·浦口区·沿江,1年以内大专,家教 小学教育 文科 语文 理科,3.5,19.0
3,家教,杭州·江干区·钱江新城,经验不限本科,初中教育 理科 教师 家教 初中课程,11.0,18.0
4,家教兼职(实习),石家庄·裕华区·建华,5天/周3个月本科,家教 学科带头人 语文 数学 英语,65.0,20.0
5,高中家教（兼职）,南昌·青山湖区·南京东路,经验不限本科,家教 理科 1对1 教务行政 物理,8.0,16.0
6,高薪课程顾问-K12家教,上海·徐汇区·徐家汇,1-3年大专,课程顾问 课程销售 新客户开发 大客户销售,17.5,13.0
7,在线1对1家教,上海·徐汇区·漕河泾,经验不限大专,教师 教学平台 家教 初高中 一对一教学,17.5,24.0
8,急聘家教辅导老师,平顶山·新华区·鹰城广场,经验不限本科,家教 文科 理科 教师 助教,14.5,20.0
9,家教兼职,青岛·市南区·麦凯乐,经验不限本科,家教 家教兼职 应届毕业生 调动学生 学习积极性,7.0,19.0
10,家教,广州·越秀区·建设路,1年以内本科,家教 小学教育 教师 家教老师 上门辅导,6.5,19.0
11,家教兼职可日结,石家庄·桥西区·维明,经验不限本科,家教 理科 语文 英语 托管老师,15.5,16.0
12,北京家教老师,北京·朝阳区·和平里,在校/应届本科,家教 教师 兼职 教案 公办大学,5.5,21.0
13,一对一家教,无锡·梁溪区·崇安寺,经验不限本科,家教 一对一授课 小学教育 初中教育 教师,21.0,14.0
14,家教,长春·南关区·吉大二院,1年以内大专,家教 托管老师,3.5,14.0
15,高端家教老师,上海·普陀区·长征,经验不限学历不限,家教 一对一授课 小学教育 初中教育,22.0,22.0
16,家教,郑州·中原区·帝湖,经验不限学历不限,家教 小学教育 英语 托管老师 辅导小学,5.5,14.0
17,家教,宁波·鄞州区·东柳,经验不限大专,文科 家教 托管老师 学科带头人 教师,2.0,20.0
18,家教,江门,经验不限大专,家教 小学教育 初中教育 兼职 晚辅老师,2.0,27.0
19,家教,西安·雁塔区·大雁塔,1-3年本科,小学教育 语文 教师 数学 英语,10.0,16.0
20,兼职家教,郑州·新郑市·河南工程学院,1年以内本科,家教 一对一授课 小学教育 初中教育 高中教育,6.5,22.0
21,家教老师,临沂·兰山区·大学城,经验不限本科,家教 文科 钢琴 数学 英语,8.0,16.0
22,家教,海口·秀英区·海秀中路,经验不限本科,家教 一对一授课 小学教育 语文 全职兼职均可,4.0,15.0
23,家教兼职,苏州·姑苏区·苏锦,经验不限本科,家教 英语 托管老师 教师 双语教师,6.0,21.0
24,家教老师,长沙·天心区·南门口,1年以内本科,家教 初中教育 高中教育 一对一授课 家教老师,5.0,21.0
25,家教,台州,经验不限大专,家教 文科 托管老师 教师 小学教育,5.5,13.0
26,家教,合肥·蜀山区·荷叶地,经验不限本科,家教 一对一授课 教师 兼职 线下授课,14.5,13.0
27,家教,长沙·天心区·新开铺,1-3年本科,家教 理科 1对1 教师 数学,15.5,19.0
28,家教兼职,合肥·肥西县·水晶城,在校/应届本科,家教 理科 教师 数学 英语,5.0,19.0
29,家教,长沙·岳麓区·岳麓大学城,经验不限学历不限,教师 初中教育 高中教育 家教 普通一本,6.5,26.0
30,教师助教+培训+五金,新乡·卫滨区·解放路沿线,经验不限大专,文科 教师 助教 英语 外语,7.0,17.0
31,教师助教,莆田·城厢区·北磨,经验不限本科,作业批改 高中教育 文科助教 教师助教 政史地,75.0,10.0
32,英语助教－－预备教师－－教师,郑州·中原区·中原万达,经验不限大专,英语助教 现代外语 讲课 教师 五险,6.0,13.0
33,教师\助教,湖州·长兴县·金陵北路,经验不限大专,助教 幼教 小学教育 教师 幼儿教师,6.0,16.0
34,教师助教,温州·乐清市·南塘,经验不限大专,小学教育 数学 语文 英语 提供课程,8.0,13.0
35,教师助教,安阳·林州市·红旗渠广场,经验不限大专,教师 助教 理科 初中教育 1对1,5.0,20.0
36,教师助教,苏州·昆山市·玉山,经验不限本科,初中教育 助教 语数英 艺术课 幼儿阶段,11.5,13.0
37,兼职助教,北京·海淀区·皂君庙,经验不限大专,助教 兼职助教 录入 教师 高校学生,2.0,16.0
38,英语助教老师（深圳）,深圳·南山区·科技园,1-3年本科,英语 助教 辅导老师 班主任 课程顾问,12.0,16.0
39,美术教师助教,东莞·长安镇区,1年以内本科,助教 美术教育 幼教 美术 教师助教,7.5,16.0
40,英语数学助教教师,哈尔滨·呼兰区·学院路,经验不限本科,英语 教师 数学 初中教育 助教,8.0,16.0
41,助教,成都·锦江区·九眼桥,经验不限本科,助教 教师 教务行政 班主任 全职,13.0,14.0
42,助教老师/教师方向,焦作·解放区·铜马,经验不限学历不限,教师 助教 初中教育 小学教育 教育培训,4.5,25.0
43,兼职助教（河东）,长沙·雨花区·侯家塘,经验不限本科,文科 助教 语文 小学教育 兼职,3.5,15.0
44,51talk上市+助教+房补车补综合10-15K,北京·海淀区·上地,经验不限大专,助教 教务行政 续费 51 房补,25.0,25.0
45,英语助教（可含暑期实习）,石家庄·长安区·育才,应届生本科,英语教育 教务 英语助教 暑期实习 日常管理,3.5,15.0
46,英语助教,北京·昌平区·昌平镇,经验不限大专,教师 教务行政 英语 小学教育 线下授课,8.5,16.0
47,正价课.助教老师（接受实习生）,上海·虹口区·临平路,经验不限大专,续费 教务行政 助教 班主任 排课,14.0,13.0
48,助教,佛山·顺德区·大良,经验不限学历不限,助教 教务行政 学生管理工作 日常管理 沟通辅导,7.0,19.0
49,考研英语助教,大连·沙河口区·中山公园,经验不限本科,英语 教师 教务行政 全职 考研,9.0,15.0
50,英语助教,南宁·西乡塘区·广西大学,经验不限本科,助教 英语 CET-6 CET-4 全职,6.5,19.0
51,助教,东莞,经验不限中专/中技,教育培训 在线教育 安排课程 助教 教育,9.0,21.0
52,幼教助教,漯河·源汇区·千盛百货,1-3年大专,幼师 助教 教师 舞蹈 全职兼职均可,5.0,18.0
53,助教,西安·未央区·浐灞半岛,1-3年大专,托管老师 初中教育 助教 招聘周 作业辅导老师,6.5,19.0
54,助教,永州·冷水滩区·市中心医院,1年以内本科,助教 教师 教务行政 高端服务 学员答疑,6.0,14.0
