,job,place,limit,tags,salary,working time
0,京东客服,宿迁·宿豫区·千鸟园,经验不限中专/中技,在线客服 售后客服 电商客服 电话客服 客服,7.0,10.0
1,电商在线客服（纯打字）双休五险一金年终奖,武汉·江夏区·纸坊,在校/应届大专,网店客服 在线客服 电商客服 售后客服 售前客服,4.5,12.0
2,诚招网络在线客服+恒盛科技园,九江·浔阳区·九江快乐城,经验不限学历不限,在线客服 电商客服 电子商务 电话客服 客服专员,8.0,17.0
3,在线客服（无销售压力）4k+,芜湖·镜湖区·步行街,1-3年中专/中技,在线客服 电话客服 投诉客服 电商客服 客服专员,7.0,23.0
4,电商客服,上海·浦东新区·塘桥,1-3年大专,电商客服 客服专员 基金 蚂蚁金服 财富号,8.0,18.0
5,客服,杭州·下城区·艮山,经验不限学历不限,客服专员 电话客服 售前客服 客服 熟悉软件,10.0,17.0
6,网络客服,三亚·天涯区·河东,经验不限大专,客服专员 在线客服 售前客服 电话客服 客服管理,9.5,20.0
7,轻奢女装品牌客服专员,南宁·江南区·那洪,经验不限高中,微信客服 社交 服装纺织 品牌导购 售后客服,8.5,17.0
8,两路客服回访及现场咨询,重庆·渝北区·两路,1年以内大专,客服 售后咨询 售前咨询 客服回访 现场咨询,6.0,19.0
9,链家招新房店经理，网络客服，新房销售,武汉,经验不限大专,新房 店经理 网络客服 新房销售 咨询工作,24.0,21.0
10,淘宝客服,金华·婺城区·金职院,1-3年大专,淘宝客服 售前咨询 电商客服 电商平台 客服,5.5,24.0
11,双休+早九晚六办公室客服轻松+包住+待遇好,扬州·广陵区·城东,经验不限学历不限,投诉客服 电商客服 在线客服 售后客服 电话客服,6,18.0
12,支付宝花呗客服 4k-6k 住宿+五险,西安·未央区·张家堡,经验不限大专,接听客服 在线客服 电商客服 售后客服 售前客服,7.0,15.0
13,电商客服,深圳·龙华区·大浪,1-3年学历不限,售后客服 淘宝平台 电商客服 快递 售后,7.5,17.0
14,客服,南京·江宁区·九龙湖,1-3年大专,天猫客服 淘宝客服 电商客服 售前客服 电子商务,7.0,19.0
15,客服8k+免费管吃住,北京·房山区·良乡,经验不限中专/中技,管吃住 游戏 电话客服 客服 免费提供食宿,10.5,22.0
16,虎牙游戏客服 月休15＋晚班住宿,珠海·香洲区·唐家湾,经验不限中专/中技,游戏客服 主播 在线客服 电商客服 客服专员,5.5,22.0
17,客服专员,广州·番禺区·市桥,1-3年大专,在线客服 电商客服 客服专员 门店 问题跟进,7.0,12.0
18,电商客服,湖州·长兴县·人民南路,1-3年大专,电商客服 查询物流 网店订单 无责底薪 季度绩效,8.0,11.0
19,网络客服,北京·朝阳区·望京,3-5年大专,在线客服 售后客服 电商客服 售前客服 网络客服,10.0,14.0
20,客服专员,深圳·南山区·西丽,1-3年大专,售后客服 客服专员 平台工具 提供售前 售后,10.0,14.0
21,网络客服（中国电信）,重庆·南岸区·四公里,1-3年大专,运营商客服 网络客服 应届生 全日制大专及以上学历,5.5,17.0
