,job,place,limit,tags,salary,working time
0,底薪5500💰薪资保底一年/实习/大平台,成都·武侯区·双楠,经验不限本科,带薪培训 电话客服 职前培训 招聘 房产,13.0,13.0
1,行政班/银行分期客服/保底4500,成都·青羊区·中坝,1-3年中专/中技,外呼客服 银行 金融 年终奖 电话客服,7,16.0
2,12530热线接听 无通宵班,成都·武侯区·新会展中心,经验不限大专,接听客服 在线客服 质检客服 电话客服 售前客服,7.5,19.0
3,聘美容美体师不推销7K起,成都·锦江区·春熙路,1-3年高中,月休四天 五险 包住 带薪培训 就近分配,13.0,11.0
4,知名银行坐席早九晚六双休五险一金,成都·成华区·SM广场,经验不限高中,外呼客服 银行 客服主管 客服经理 官方电话,10.0,15.0
5,代理记账推销专员（周末双休）,成都·武侯区·火车南站,1-3年大专,电话销售 网络销售 代理记账 推销 周末双休,7.0,14.0
6,急招线上游戏推销,成都·金牛区·国宾,经验不限学历不限,线上推广 用户增长 游戏推广 游戏运营 线上游戏,10.0,16.0
7,舆情产品经理,成都·武侯区·复城国际广场,经验不限本科,用户研究 项目管理 舆情 国际关系 新闻,25.0,18.0
8,系统集成方案工程师,成都·武侯区·复城国际广场,3-5年本科,硬件开发 ARM 驱动开发 信息娱乐系统 BSP,25.0,20.0
9,6000+纯接听客服（无销售性质）,成都·武侯区·新会展中心,经验不限大专,接听客服 客服经理 电话客服 售后客服 售前客服,7.5,13.0
10,电话回访客服,成都·武侯区·高升桥,经验不限学历不限,全职兼职均可 回访客服 益普索 市场研究 兼职,3.5,20.0
11,无需加盟费开房产中介店 时间自由 团队激情,成都·双流区·航空港,经验不限学历不限,销售主管 电话销售 面销 网络销售 门店销售,40.0,17.0
12,客服专员,成都,经验不限学历不限,在线客服 微信客服 全职兼职均可 广告 网络渠道,8.0,19.0
13,讲师助理双休稳定,成都·锦江区·红星路,1年以内中专/中技,讲师助理 助教 外勤 讲课 垃圾分类,8.0,18.0
14,秩序员巡逻岗,成都·成华区·熊猫基地,经验不限学历不限,保安 空置房 违章装修 秩序员 巡逻岗,6.5,15.0
